WKT,id,id2,sportpark,sportparkFunctioneleNaam,objecttype,objectsubtype,veldindeling,sportfunctie,jaarVanActiviteit,soortOndergrond,oppervlakte,omtrek
"MULTIPOLYGON (((5.03390053841081 52.3153589064815,5.03440417180876 52.3154764514692,5.03450198082668 52.3153299321891,5.03399930297853 52.3152051378298,5.03390053841081 52.3153589064815)))","496847",{59471BDF-009A-459F-9EEC-16916770D69E},Sportpark Papelaan,Sportpark Papelaan 02,Sportveld (verhard),Halfverharding,SPO-W-PAPE-08,Tennis,0,Gravel,663.51744,109.73118
"MULTIPOLYGON (((4.96433303746804 52.3735519634045,4.9645904357186 52.373584301604,4.96458019201485 52.3736143845897,4.96471709094721 52.3736311963015,4.96473702493939 52.3736337537362,4.96475007397575 52.3736359623032,4.96478779992464 52.3736434477314,4.96480172484395 52.3736464161217,4.96481811261943 52.3736504202517,4.96484039852892 52.3736563912287,4.96485431419273 52.3736603324858,4.96486981066108 52.3736651982347,4.96488961674686 52.3736719170625,4.96490950703061 52.3736790685899,4.96493035687902 52.3736874666932,4.96494697719274 52.373694876805,4.96496790095869 52.3737047885743,4.96498371982121 52.3737128984772,4.96501103816467 52.3737282921219,4.96503017109943 52.3737407919107,4.96504859654802 52.3737533972748,4.96506245362322 52.3737635000353,4.96508175291798 52.3737770814151,4.96513895160374 52.3738170663387,4.96516526935802 52.3738355372491,4.96519684863526 52.3738579185279,4.96525789404314 52.3739020249261,4.96532597755496 52.3739489669835,4.96535476194799 52.3739680952427,4.96536883381358 52.373974199008,4.96538364093757 52.3739772785727,4.96539706390172 52.373977326387,4.96541049920056 52.3739760770362,4.96559099061986 52.3739408303899,4.96561223818137 52.3739352848053,4.96562219041963 52.373928834199,4.96563642668338 52.3739176424151,4.96563862828237 52.3739090022016,4.96563955143655 52.373904789563,4.96563967698597 52.3739008713617,4.96563901648833 52.3738960315066,4.96563833467372 52.3738934346639,4.96562569100137 52.3738624998925,4.96561947043975 52.3738479922601,4.96561713751931 52.3738332822669,4.96561833489207 52.3738188010435,4.96562231910035 52.3738084375663,4.96562987058139 52.373794411367,4.96563879184733 52.3737849302707,4.96566156731966 52.3737672828446,4.96567647300942 52.3737599850619,4.96570552654803 52.3737507918257,4.96573069039182 52.3737420171405,4.96574806253724 52.3737353767315,4.96578318880155 52.373719070447,4.96582088214902 52.3736928280279,4.96584544420547 52.373673024911,4.96586684972881 52.3736508323434,4.96587974067296 52.3736325011005,4.96589017950941 52.3736119991188,4.96589926700589 52.3735850062895,4.96590227767011 52.3735655588844,4.96590212771949 52.3735441544226,4.96589879867832 52.37352273865,4.96589296621453 52.3735045569898,4.9658846508643 52.3734874475015,4.96587281757612 52.3734688120865,4.9658613067264 52.373453420837,4.96584137172049 52.3734323783766,4.96581753681173 52.3734128354439,4.96578665372999 52.3733915378129,4.96577399697019 52.3733852229312,4.96575361842641 52.3733736917346,4.96574062282426 52.3733658622341,4.96572587545122 52.3733565130881,4.96571463985075 52.3733493384532,4.96570060716765 52.3733391270425,4.96568131711815 52.3733245728893,4.9656592299999 52.3733069819574,4.96564242697336 52.3732909232422,4.96562879070377 52.3732761730065,4.96561586706785 52.3732607767024,4.96559006297483 52.373225444016,4.96557056157271 52.373195971201,4.96555665432719 52.3731725719391,4.96553923535423 52.3731469981573,4.96553331060625 52.3731385452081,4.96552979064489 52.3731372354657,4.9655227414745 52.3731355888535,4.96551303897529 52.3731343651946,4.96550332311736 52.3731345467959,4.9654992548158 52.3731351809117,4.96545570279437 52.3731460520707,4.96544860429238 52.37314959411,4.96544451748863 52.3731521739699,4.96543952911077 52.3731566964302,4.96543611895839 52.373162413619,4.96544134545436 52.3731699992807,4.96545635738967 52.3732072393751,4.9654635665845 52.3732292094849,4.96546792322463 52.3732539800518,4.96546952493978 52.3732712818614,4.96546574700906 52.3732971044631,4.96545674753666 52.3733333942312,4.96542018763006 52.3733890439514,4.96539023661407 52.3734183406426,4.96535112620726 52.3734450102804,4.96531063161316 52.3734686481555,4.96525956469279 52.3734896539294,4.96520218890723 52.3735054483669,4.9651320802628 52.3735229270036,4.96505282044055 52.3735369137541,4.96497995991018 52.3735465992432,4.96492340978809 52.373549856814,4.9648266076217 52.3735512411783,4.96482565000734 52.3735776143222,4.96480515839373 52.3735779736309,4.9648068430722 52.3735494410675,4.96475740288043 52.3735479674918,4.96470586800757 52.373543892006,4.9646522343444 52.3735376469953,4.96462472341131 52.373533224796,4.96461529221552 52.3735591352966,4.96433431438343 52.3735249115522,4.96433141862095 52.37353339218,4.96433131980155 52.3735443370187,4.96433303746804 52.3735519634045)))","523019",{E4ECEB70-9B3E-44B1-804F-6C400144D90E},Sportpark Zeeburgereiland,Sportpark Zeeburgereiland,Sportveld (verhard),Betonverharding,SPO-ZEEBURG-10,Skaten,2004,Beton,3421.1856,338.45305
"MULTIPOLYGON (((4.93673459909811 52.3168670846122,4.93536229634946 52.3163956798425,4.93531004710528 52.3164552592914,4.9366773836365 52.3169307866477,4.93673459909811 52.3168670846122)))","536188",{E4746CF2-A14D-4171-A2DB-92DFBA611B45},Sportpark Strandvliet,Sportpark Strandvliet,Sportveld (verhard),Kunststofverharding,SPO-STRAND-99,Cricket,2009,Kunstgras — rubber,837.20304,230.08762
"MULTIPOLYGON (((4.95030114595079 52.3500852580597,4.94923994359717 52.3507474970272,4.94923834761745 52.3507485966114,4.94923691219344 52.3507497866668,4.94923565226774 52.3507510402854,4.94923458251705 52.3507523575218,4.94923370302989 52.3507537293883,4.9492330139838 52.3507551379104,4.94923254473199 52.3507565831968,4.94923226609848 52.3507580471636,4.94923220752535 52.3507595209326,4.94923236910117 52.3507609955159,4.94923273632685 52.3507624528849,4.94923329461426 52.3507638839975,4.94923407340561 52.3507652799752,4.94923504352486 52.3507666227345,4.94923620497198 52.3507679122753,4.94923754315922 52.3507691395561,4.94923905826391 52.3507702866021,4.94924072093278 52.3507713533045,4.94993295974591 52.3511878867373,4.94993497548574 52.3511888738447,4.94993713905556 52.3511897536454,4.94993939183704 52.3511905169354,4.9499417484181 52.3511911727561,4.94994417962245 52.3511917030246,4.94994668545018 52.3511921077405,4.94994922187076 52.3511923867413,4.94995178888447 52.3511925400272,4.94995437181444 52.3511925675437,4.94995695607236 52.3511924602492,4.94995951221628 52.351192227023,4.94996202556933 52.3511918678105,4.94996448154342 52.3511913735704,4.94996686519607 52.3511907712104,4.94996916202762 52.3511900427016,4.94997135718427 52.3511892059648,4.94997343598923 52.3511882609454,4.95056264733638 52.3508205374266,4.95103421014865 52.3505262385738,4.95103585028215 52.3505251211527,4.95103731518044 52.3505239132088,4.95103861925499 52.3505226417583,4.95103974791767 52.3505212977596,4.95104067155056 52.3505199080669,4.95104140491843 52.3505184637468,4.95104193299153 52.3505170006949,4.95104225594664 52.3505155009362,4.95104237343035 52.3505140004204,4.95104227085448 52.3505124901061,4.95104199065916 52.3505111319285,4.95104196263078 52.3505109970094,4.95104144867097 52.3505095301179,4.95104072897489 52.3505080894312,4.95103980336603 52.3505066929245,4.95103870110906 52.3505053496933,4.95103740743935 52.3505040686705,4.95103593694495 52.3505028588982,4.95103430421411 52.3505017294172,4.95056853931076 52.3502215727741,4.9503409554543 52.3500846769855,4.95033911596048 52.3500836815477,4.95033714340636 52.3500827844834,4.95033503770346 52.3500819947803,4.95033282811608 52.3500813215343,4.95033054390844 52.3500807738408,4.95032817040434 52.3500803516456,4.95032576630902 52.3500800551657,4.95032331685789 52.3500798933339,4.95032085149187 52.3500798572715,4.95031839938705 52.3500799650614,4.95031596072008 52.350080198729,4.95031357952027 52.3500805584366,4.95031124102259 52.3500810531176,4.95030900410959 52.3500816650138,4.95030683934002 52.3500824030043,4.95030480559619 52.350083249331,4.95030290287816 52.3500842039938,4.95030114595079 52.3500852580597)))","558009",{0E54C51D-CB97-45A6-BC92-CCCEA7CC4810},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 03,Sportveld (verhard),Kunststofverharding,SPO-MIDD-22,Voetbal,2013,Kunstgras — rubber,7491.55503,350.75444
"MULTIPOLYGON (((4.89699293407056 52.4130437023229,4.89703031720647 52.4129760460046,4.89684927961344 52.4128278685547,4.89679827827935 52.4127840646923,4.89676359312754 52.4127421447124,4.89671005312343 52.412704082127,4.89665444592563 52.4126738818762,4.89660534800278 52.4126370485443,4.8964049163803 52.4124969637364,4.89634156218724 52.4124957930983,4.89622218056576 52.412547064875,4.89608443206256 52.4126028013151,4.89595312202475 52.4126582615631,4.89581728918847 52.4127197574611,4.89575013700953 52.4127485407922,4.89565308104817 52.4127953636846,4.89559134382225 52.4128268939395,4.89535987801137 52.4129406670792,4.89524683880162 52.4130001378493,4.89509688728818 52.413084581599,4.89510697042386 52.4131127771472,4.8951108634977 52.4131188478688,4.89512743933331 52.4131419240112,4.89519102137224 52.413211815412,4.89527431789753 52.413289659549,4.89536253153814 52.4133705513131,4.89544500657908 52.4134332555357,4.89556979364839 52.4135197480279,4.89567498760933 52.4135873899952,4.89573400351468 52.4136227512069,4.89576879103501 52.4136107863966,4.89578469965138 52.413604797828,4.89594786677743 52.4135340307519,4.89614382036847 52.4134531066028,4.89646029793255 52.4133072922279,4.89668126978451 52.4132022526044,4.89699293407056 52.4130437023229)))","562663",{D6276427-8895-4FB0-A299-4E8E864DEAB8},Sportpark Tuindorp-Oostzaan,Sportpark Tuindorp-Oostzaan,Sportveld (begroeid),Gras- en kruidachtigen,SPN-TUI-01,Voetbal,2008,Gras,8880.51992,369.77755
"MULTIPOLYGON (((4.93486612213103 52.3894906982664,4.93461617977927 52.3895312541298,4.93475837967984 52.389854196966,4.93501284204979 52.3898141192869,4.93486612213103 52.3894906982664)))","584038",{713B48D4-DBAC-4A23-8FF7-C91B5B6BD719},Sportpark W.H. Vliegenbos,Sportpark W.H. Vliegenbos,Sportveld (verhard),Halfverharding,SPN-VLIE-13,Wielrennen,0,Gravel,661.48229,110.04989
"MULTIPOLYGON (((4.91462371999123 52.415840334093,4.91441076642005 52.4159390817742,4.91408636899129 52.4160885450183,4.91389131337085 52.4161800977804,4.91380089456877 52.4162238611629,4.91477728999735 52.4170065075041,4.91572436564787 52.4166151691245,4.91485681601195 52.4158925568515,4.91472320825718 52.4157959951493,4.91462371999123 52.415840334093)))","607352",{160F4BE4-D3A4-40E6-B0B6-4CC0949FF120},Sportpark Kadoelen,Sportpark Kadoelen 03,Sportveld (begroeid),Gras- en kruidachtigen,SPN-KAD-03,Voetbal,2008,Gras,8794.61091,379.87458
"MULTIPOLYGON (((4.95292186923054 52.3583281350007,4.95346332725306 52.3583106255493,4.95344815711078 52.3581450440081,4.95290729734026 52.3581607833536,4.95292186923054 52.3583281350007)))","615148",{F65D2D28-B739-4CC7-803B-B5F10C0F3294},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-11,Tennis,2015,Gravel,684.69103,110.92294
"MULTIPOLYGON (((4.98002329358223 52.355622549604,4.97973794779747 52.3551291770268,4.97837385923004 52.3554250944244,4.97865989778001 52.3559183109059,4.98002329358223 52.355622549604)))","692150",{CB18BF12-C571-488A-8A27-6AEA18ED8D72},Sportpark IJburg,Sportpark IJburg,Sportveld (verhard),Kunststofverharding,SPO-IJBU-02,Hockey,2015,Kunstgras — semi-water,5740.0414,313.60343
"MULTIPOLYGON (((4.95360521305434 52.3488686306246,4.95381581585717 52.3489815412864,4.95495033028588 52.348275936738,4.95423860883995 52.3478595961309,4.95419365811435 52.3478859011749,4.95321625543059 52.3485015963,4.9531040314305 52.3485702417294,4.95333724242809 52.348711215469,4.95360521305434 52.3488686306246)))","694820",{B37D32AB-BEF6-4210-9EF0-E7F160A1B152},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 04,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-25,Voetbal,2012,Gras,7408.64011,354.53254
"MULTIPOLYGON (((5.05119781877154 52.3061795463285,5.05260926893223 52.306361016741,5.05262216943479 52.3063619323352,5.05278596313669 52.3058454799676,5.05137109025321 52.3056682875508,5.05119781877154 52.3061795463285)))","712554",{063F7AC3-AA91-4B85-854A-3899C042339D},Sportpark Vechtoever,Sportpark Vechtoever 01,Sportveld (verhard),Kunststofverharding,SPO-W-VECHT-03,Hockey,2006,Kunstgras — zand,5769.55196,314.37481
"MULTIPOLYGON (((5.03420847213044 52.3152152124811,5.03440737637446 52.3149147115333,5.03415040124611 52.3148510888195,5.03394613749304 52.3151489360181,5.03420847213044 52.3152152124811)))","723945",{DEAAF98B-6766-47CE-9B13-F81BC7252106},Sportpark Papelaan,Sportpark Papelaan 02,Sportveld (verhard),Halfverharding,SPO-W-PAPE-12,Tennis,0,Gravel,688.70821,110.27646
"MULTIPOLYGON (((4.88315172058011 52.3203692795317,4.88289623990141 52.3203644190756,4.88289445090172 52.3203643844861,4.88289436290308 52.320364384111,4.88287896169252 52.3206900276328,4.8828792989211 52.3206900380582,4.88292340039128 52.3206915921944,4.88312885467835 52.3206954112115,4.88315172058011 52.3203692795317)))","725938",{35727819-7F8D-4C18-9D0C-B6FD5DA946BC},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (verhard),Kunststofverharding,SPZ-LOO-24,Tennis,2017,Kunstgras — keramisch zand (smashcourt),628.34047,107.17288
"MULTIPOLYGON (((4.85339399714591 52.3197579952046,4.85393440854143 52.3197647825385,4.85431944680091 52.3197696183334,4.85486223409479 52.3197764390922,4.85488280438159 52.3192397157015,4.85341274414016 52.3192219109083,4.85339399714591 52.3197579952046)))","730395",{C46BCDB0-C3FE-4C7E-8527-246C77887050},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 02,Sportveld (verhard),Kunststofverharding,SPZ-AMSTER-01,Hockey,2018,Kunstgras — water,5981.12002,319.77705
"MULTIPOLYGON (((4.84956473785874 52.3396935319934,4.84930918506007 52.3396588320356,4.84919058049025 52.3399844150213,4.84944692520672 52.340019126517,4.84956473785874 52.3396935319934)))","752272",{2140B401-97C3-42CB-B03D-A1B439E2FFBF},Sportpark Zuid,Sportpark Zuid,Sportveld (verhard),Kunststofverharding,SPZ-ZUID-06,Tennis,2005,Top Clay (clay tech),663.01985,109.95437
"MULTIPOLYGON (((4.84332542140555 52.3836802179442,4.84273444347251 52.383668316847,4.84268872031137 52.3845030927079,4.84327984121747 52.3845150216154,4.84332542140555 52.3836802179442)))","754931",{62F3EC34-2EF4-4FB9-AC18-26D939AE0C71},Sportpark Multatuliweg,Sportpark Multatuliweg,Sportveld (verhard),Kunststofverharding,SPW-MULT-03,Korfbal,2001,Kunstgras — zand,3741.82683,266.39656
"MULTIPOLYGON (((4.87241180468873 52.4196898394372,4.87264385753487 52.4195811982202,4.87228583309495 52.4192971615866,4.87205274982846 52.4194059773797,4.87241180468873 52.4196898394372)))","755016",{219ABE4B-700C-4034-B700-480B4CFC360A},Sportpark Melkweg,Sportpark Melkweg,Sportveld (verhard),Asfaltverharding,SPN-MELK-01,Handbal,2017,Asfalt,794.94285,119.66109
"MULTIPOLYGON (((4.89245449616835 52.3180425123335,4.8931363665354 52.318026568485,4.89311579254689 52.3176939696691,4.89312736481102 52.3176728157636,4.89311595854797 52.3174733107119,4.89310175007291 52.3174730356619,4.89310067134073 52.3174473889424,4.89311407805653 52.3174445868138,4.89311191282999 52.3174309163036,4.89311221834124 52.3174245452243,4.89306759906771 52.3174091514918,4.89224664647228 52.3174248905879,4.89220806446879 52.3174810737271,4.8922209275597 52.3179114637646,4.89221702036824 52.3179198959553,4.89222294428299 52.3179226440467,4.89222925812444 52.3180457315153,4.89245449616835 52.3180425123335)))","770077",{48FAA4AE-A2F6-456E-8585-5F60FF23639C},Sportpark 't Loopveld,Sportpark 't Loopveld 03,Sportveld (verhard),Kunststofverharding,SPZ-LOO-18,Hockey,2017,Kunstgras — zand,4254.80856,260.00014
"MULTIPOLYGON (((4.84943593358757 52.3400495034015,4.84918030656099 52.3400148818754,4.84906294935809 52.3403402996191,4.84931819802298 52.3403748794852,4.84943593358757 52.3400495034015)))","795156",{E03DCB65-9C88-45CB-8088-3E363347B005},Sportpark Zuid,Sportpark Zuid,Sportveld (verhard),Kunststofverharding,SPZ-ZUID-05,Tennis,2005,Top Clay (clay tech),661.11373,109.81979
"MULTIPOLYGON (((4.83879584794315 52.3744298411636,4.83869300928852 52.3737873615394,4.83711797517505 52.3738828025101,4.83722246645075 52.3745251923747,4.83879584794315 52.3744298411636)))","825000",{0A64744E-C010-4A60-95D8-1B72BEA2F583},Sportpark Laan van Spartaan,Sportpark Laan van Spartaan,Sportveld (verhard),Kunststofverharding,SPW-SPAR-01,Voetbal,2009,Kunstgras — kurk,7737.80954,359.1091
"MULTIPOLYGON (((4.94557942924038 52.3459096193233,4.94625461443769 52.3463121803585,4.94728006768053 52.3456688798676,4.94660650161934 52.3452658812726,4.94609304833368 52.3455871675196,4.94557942924038 52.3459096193233)))","877849",{E7B6CF3D-71C4-4DB8-94AF-A96A6B066ACF},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 01,Sportveld (verhard),Kunststofverharding,SPO-MIDD-08,Voetbal,2017,Kunstgras — kurk,6426.3957,328.54784
"MULTIPOLYGON (((4.96381283478679 52.3113489899645,4.96371639957924 52.311315927955,4.96355343937996 52.3114952870053,4.96350092913754 52.3114779948902,4.96366535910743 52.3112989240313,4.96364675323416 52.311290677473,4.96203081593135 52.3130558893644,4.96219868009239 52.3131111178201,4.96381283478679 52.3113489899645)))","902538",{F470ABCD-138B-4D79-A295-D35BBC34E1DF},Sportpark Bijlmer,Sportpark Bijlmer 01,Sportveld (verhard),Kunststofverharding,SPO-BIJL-08,Balspel,2010,Kunstgras — rubber,2837.47635,521.91791
"MULTIPOLYGON (((4.94432956221236 52.3466616441422,4.94507703452798 52.3471041410092,4.94605054530738 52.3464837297599,4.94616593165186 52.3464100879574,4.94591305795659 52.3462625209457,4.94567241022645 52.3461195836795,4.94542364047199 52.3459783430117,4.94432956221236 52.3466616441422)))","926570",{880D7025-09A0-46C4-90ED-5003F3ACBDA0},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 01,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-03,Voetbal,2006,Gras,7514.30733,354.17299
"MULTIPOLYGON (((4.86729264068 52.3590696323589,4.86753494123861 52.3590865368487,4.86759926112853 52.35875613529,4.86753469476068 52.3587515793141,4.86736024400311 52.3587398473042,4.86729264068 52.3590696323589)))","977511",{71404DAA-BAD3-4479-9DFA-E1CC8A38E703},Sportpark Vondelpark (Tennis Festina),Sportpark Vondelpark (Tennis Festina),Sportveld (verhard),Halfverharding,SPZ-VOND-10,Tennis,0,Gravel,610.56375,106.99977
"MULTIPOLYGON (((4.95347637695505 52.3590759047483,4.95324486735527 52.3590835566018,4.95327259339881 52.3594130298656,4.95350733404147 52.3594052218077,4.95347637695505 52.3590759047483)))","1014730",{0D8100AE-DD2D-4304-8FD9-5D09A61CF6D4},Sportpark Valentijnkade (Tie Breakers),Sportpark Valentijnkade (Tie Breakers),Sportveld (verhard),Halfverharding,SPO-VALE-06,Tennis,2017,Gravel,583.754,105.21784
"MULTIPOLYGON (((5.00528421227477 52.3452313522131,5.00563854090577 52.3449792844937,5.00543173663069 52.3448702529607,5.00507763153411 52.345121889379,5.00528421227477 52.3452313522131)))","1040206",{94769D26-A6A6-4964-9487-481DE82565BA},Sportpark IJburg Zandzeggestraat (Tennis Rieteiland),Sportpark IJburg Zandzeggestraat (Tennis Rieteiland),Sportveld (verhard),Halfverharding,SPO-RIET-02,Tennis,2011,Kunstgras — keramisch zand (smashcourt),688.08328,111.17845
"MULTIPOLYGON (((4.95005543241563 52.3496746816863,4.95049814014148 52.3493959709131,4.95054043672015 52.3493692806383,4.95075116241615 52.3492366351395,4.95076542307702 52.3491849004844,4.94983705035801 52.3486251788573,4.94982659783721 52.3486314316388,4.94969701450831 52.3485574961008,4.94893477769911 52.3490290122029,4.95005543241563 52.3496746816863)))","1172228",{7EFD6D90-A589-47EF-9E9B-60178BF50C56},Sportpark Middenmeer-Voorland,Sportpark Middenmeer-Voorland 02,Sportveld (begroeid),Gras- en kruidachtigen,SPO-MIDD-14,Honkbal/softbal,2012,Gras,7706.39551,354.32389
"MULTIPOLYGON (((4.89742299493952 52.41343836388,4.89743174197714 52.4134249096035,4.89743621718483 52.4134083189603,4.89743157687157 52.4133986290879,4.89742195219406 52.4133904285333,4.89741366287666 52.4133837524077,4.89740137002945 52.4133802503403,4.89738618408446 52.4133805201041,4.89735611723116 52.41338537495,4.89733759882224 52.4133932614289,4.89732720183351 52.4134017387168,4.89732131809484 52.4134101268127,4.89731847675716 52.4134225090082,4.897316319783 52.4134288273821,4.89730868033711 52.4134338288689,4.89716786963557 52.4134833885684,4.89713808563555 52.4134945538459,4.89712993725286 52.4134963985577,4.89711870850142 52.4134976822821,4.89710369033199 52.4134987256401,4.89708721343326 52.4135014256737,4.89707597491783 52.4135049203109,4.89705509750126 52.4135121319026,4.89699246875025 52.4135361034543,4.89693311747749 52.4135574281959,4.89689554990903 52.4135706643106,4.89688862988715 52.4135744014915,4.89688734025558 52.4135767149635,4.89688712221206 52.4135804798786,4.89688957795912 52.4136029501309,4.8968926302026 52.4136219895765,4.89689665119669 52.4136345080107,4.8969017475859 52.4136468062041,4.89691186672377 52.4136634482321,4.89692808408982 52.4136855350346,4.89694540013815 52.4137052985844,4.89696991916545 52.4137276354339,4.89699178403933 52.4137441013618,4.89702790589303 52.4137672231892,4.89705358442969 52.4137804154099,4.89706838481151 52.4137871095071,4.89708812975166 52.4137959181737,4.89710542583534 52.4138015530616,4.89712364785965 52.413807191777,4.89714299671731 52.4138132755441,4.89716082322887 52.4138174656093,4.89717412096974 52.4138204865251,4.89720424752631 52.4138248802435,4.89723006358695 52.4138283034402,4.89726943304766 52.4138315669722,4.89729871156649 52.4138329013656,4.8973252906435 52.4138324540277,4.89735297064392 52.413830806893,4.89738644520533 52.4138275120074,4.89741052811912 52.4138241782895,4.89744637869668 52.4138186822521,4.8974673897445 52.4138153448126,4.89750026648585 52.4138049651714,4.89752361481993 52.4137976109238,4.89757026152707 52.413776781632,4.89760371738266 52.4137592142511,4.89762902718775 52.4137432759134,4.89763941685008 52.4137354636539,4.89765589688357 52.4137231737549,4.89767416780146 52.4137057683034,4.8976733274687 52.4136993476635,4.89766992830539 52.4136930512658,4.89764035891753 52.4136621824086,4.89759156289834 52.4136115152337,4.89756283663761 52.4135775131572,4.89754620178194 52.4135652481969,4.89751322553854 52.4135434247589,4.89742254287869 52.4134420289647,4.89742299493952 52.41343836388),(4.89754143511834 52.4136228392099,4.89753687893518 52.4136254807189,4.89753052609977 52.4136284383573,4.89751784109294 52.413631154122,4.89750474831919 52.4136375171781,4.89749856817246 52.4136408080708,4.89749400591985 52.413645327968,4.89749341810963 52.4136493070588,4.89749411622588 52.4136513051982,4.89747884584484 52.4136592051235,4.8973646688846 52.4137006604427,4.89728187838331 52.4137282516959,4.89727197562092 52.4137292443259,4.89725906706455 52.4137282472473,4.89724339193646 52.4137262231245,4.89722854622402 52.4137236272212,4.89721671338868 52.413719722594,4.89720947597545 52.4137149471949,4.89720231216399 52.4137088329426,4.89709517652455 52.4135987047801,4.89709197742996 52.413594260645,4.89708896444745 52.4135889364918,4.89708850018529 52.4135817444667,4.89709092025992 52.4135755619997,4.89708516668722 52.4135655349666,4.89707714436135 52.4135559838802,4.89706390691513 52.4135435351777,4.8970630422144 52.4135393253893,4.89706741093126 52.4135363595681,4.8970896314794 52.4135286412352,4.89712140213603 52.4135172594965,4.89716947312127 52.413501864782,4.897270186405 52.4134643984121,4.89731137049565 52.4134510692805,4.89732769534151 52.4134461666175,4.89733804710632 52.4134444388535,4.89734400784233 52.4134450387062,4.89735025575743 52.4134475810741,4.89735648877723 52.4134501413553,4.89736267314413 52.4134517846968,4.89737138613976 52.4134533755783,4.89738029388579 52.4134533045525,4.89738661570485 52.4134531509348,4.89739027930284 52.4134528065749,4.89739270236733 52.4134529963445,4.89739535055289 52.4134540947954,4.89739828294694 52.413456075209,4.89741931999956 52.4134782897205,4.897447023951 52.4135076949278,4.89748186642795 52.4135455061057,4.89753913622476 52.413606094741,4.89754285503644 52.4136100646673,4.89754445753161 52.4136140168598,4.89754419813369 52.4136175389389,4.89754143511834 52.4136228392099)))","1203560",{85608C21-B972-4B16-81D6-014182F1846F},Sportpark Tuindorp-Oostzaan,Sportpark Tuindorp-Oostzaan,Sportveld (verhard),Halfverharding,SPN-TUI-04,Honkbal,2013,Gravel,1016.308,256.27493
"MULTIPOLYGON (((4.88361553302988 52.3207053731067,4.8836291128137 52.3203786328264,4.88338581886218 52.3203737327075,4.88336938966648 52.3206998818599,4.88361553302988 52.3207053731067)))","1219913",{8AC7B0A5-8F5F-4B46-91DA-2DDB35506994},Sportpark 't Loopveld,Sportpark 't Loopveld 01,Sportveld (verhard),Kunststofverharding,SPZ-LOO-22,Tennis,2017,Kunstgras — keramisch zand (smashcourt),606.62469,106.06288
"MULTIPOLYGON (((4.78403947685287 52.382750056116,4.78403517793276 52.382937867493,4.78403648791977 52.3831458031518,4.78556578423279 52.3831698286023,4.78556267361851 52.3829621801939,4.78556160385045 52.3827839466185,4.7855698937705 52.382573345997,4.78404775852458 52.3825516001502,4.78403947685287 52.382750056116)))","1255321",{D1D6FE26-16FB-4C78-8F5A-8C094BD62B0D},Sportpark De Eendracht,Sportpark De Eendracht 01,Sportveld (begroeid),Gras- en kruidachtigen,SPW-EEND-08,Voetbal,2018,Gras,6880.2204,340.32113
"MULTIPOLYGON (((4.8657883191037 52.3363800346456,4.86579015569241 52.335740076057,4.86421728791376 52.3357378177329,4.86421516011323 52.3363781525676,4.86451016035994 52.3363785122519,4.8657883191037 52.3363800346456)))","1312014",{018A6849-2942-4A70-9C4D-BCD3F019A78C},Sportpark Buitenveldert,Sportpark Buitenveldert,Sportveld (verhard),Kunststofverharding,SPZ-BUITEN-01,Voetbal,2010,Kunstgras — rubber,7636.33914,356.87675
"MULTIPOLYGON (((4.85110756455868 52.3203509573662,4.85081348522613 52.3203498379151,4.85081002154488 52.3206913596735,4.85103094481238 52.3206921993549,4.85107397661596 52.32069236741,4.85109745016196 52.3206924566158,4.85110756455868 52.3203509573662)))","1328002",{4C59A5CA-0FD5-4970-AD45-DCE195978E03},Sportpark Amsterdamse Bos,Sportpark Amsterdamse Bos 01,Sportveld (verhard),Halfverharding,SPZ-AMSTER-31,Tennis,2007,Gravel,753.32338,115.65166
